node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix,detected_group
51,10,10,False,143,0.028,10,11
52,6,7,False,340,0.037,6-7,4
53,6,6,False,14,0.051,6,12
54,10,10,False,119,0.056,10,11
55,3,3,False,460,0.032,3,1
56,5,9,False,323,0.099,5-9,8
57,9,9,False,349,0.019,9,3
58,3,2,False,89,0.035,3-2,10
59,10,6,False,334,0.087,10-6,4
60,9,9,False,443,0.015,9,3
61,7,7,True,10464,0.079,7,4
62,5,8,False,228,0.06,5-8,13
63,2,3,False,437,0.043,2-3,10
64,9,3,True,10974,0.091,9-3,8
65,1,1,False,137,0.07,1,12
66,6,6,False,218,0.098,6,4
67,3,3,False,93,0.098,3,1
68,3,3,True,17067,0.093,3,1
69,7,7,False,425,0.032,7,2
70,3,3,False,456,0.013,3,1
71,8,8,False,430,0.082,8,13
72,4,4,False,152,0.088,4,1
73,5,9,False,441,0.058,5-9,3
74,1,5,False,145,0.013,1-5,12
75,10,10,False,170,0.049,10,11
76,9,10,False,32,0.074,9-10,8
77,1,1,False,361,0.075,1,12
78,4,2,False,481,0.04,4-2,4
79,6,6,False,470,0.037,6,6
80,5,5,False,366,0.037,5,8
81,3,7,False,472,0.026,3-7,2
82,10,9,False,165,0.036,10-9,3
83,7,7,False,174,0.052,7,2
84,8,8,False,416,0.091,8,13
85,3,3,False,349,0.067,3,1
86,6,4,False,125,0.083,6-4,4
87,3,4,False,322,0.086,3-4,1
88,2,2,False,304,0.027,2,10
89,7,7,False,345,0.072,7,2
90,2,2,False,421,0.096,2,10
91,9,9,False,479,0.086,9,3
92,8,8,False,296,0.064,8,13
93,8,8,False,268,0.048,8,13
94,9,9,False,451,0.053,9,3
95,5,5,False,151,0.079,5,12
96,9,9,False,235,0.017,9,3
97,5,6,False,286,0.017,5-6,12
98,3,3,False,42,0.047,3,10
99,6,6,False,115,0.085,6,4
100,7,7,False,366,0.012,7,2
101,10,1,False,162,0.078,10-1,11
102,7,7,False,419,0.064,7,2
103,4,4,False,258,0.013,4,1
104,6,6,False,380,0.025,6,4
105,8,8,False,283,0.012,8,13
106,7,7,False,52,0.068,7,2
107,3,3,False,143,0.044,3,1
108,4,4,False,460,0.044,4,4
109,7,2,False,393,0.059,7-2,10
110,6,2,False,343,0.014,6-2,4
111,1,1,False,20,0.066,1,0
112,4,2,False,121,0.052,4-2,4
113,5,5,False,320,0.097,5,12
114,2,2,False,169,0.02,2,10
115,1,1,False,474,0.096,1,12
116,7,7,False,313,0.072,7,2
117,4,5,False,317,0.082,4-5,12
118,10,10,False,229,0.07,10,11
119,2,2,False,444,0.048,2,10
120,8,6,False,434,0.051,8-6,4
121,3,3,False,343,0.034,3,1
122,9,9,False,432,0.076,9,8
123,5,4,False,54,0.035,5-4,12
124,8,8,False,352,0.044,8,13
125,1,1,False,259,0.029,1,7
126,5,10,False,151,0.06,5-10,12
127,9,9,False,378,0.047,9,3
128,9,9,False,340,0.074,9,8
129,8,8,False,123,0.046,8,13
130,4,10,False,293,0.058,4-10,4
131,7,7,False,190,0.073,7,2
132,5,4,False,108,0.038,5-4,12
133,9,9,False,108,0.029,9,8
134,8,10,False,278,0.064,8-10,11
135,2,2,False,194,0.026,2,10
136,1,1,False,33,0.098,1,12
137,9,3,False,395,0.054,9-3,8
138,1,1,False,235,0.041,1,12
139,1,8,False,43,0.046,1-8,0
140,2,2,False,87,0.023,2,10
141,10,10,False,137,0.021,10,11
142,7,7,False,125,0.08,7,2
143,7,7,False,450,0.063,7,2
144,7,10,False,388,0.019,7-10,11
145,4,4,False,51,0.024,4,4
146,3,3,False,219,0.051,3,1
147,10,10,True,9720,0.074,10,11
148,8,4,False,413,0.081,8-4,13
149,10,10,False,227,0.02,10,11
150,4,4,False,433,0.023,4,4
151,1,5,False,432,0.061,1-5,12
152,5,5,False,165,0.073,5,12
153,5,5,False,51,0.064,5,12
154,7,7,False,23,0.018,7,2
155,10,10,True,17529,0.071,10,11
156,5,5,False,99,0.052,5,12
157,8,8,False,309,0.049,8,13
158,8,8,False,219,0.04,8,13
159,2,2,False,365,0.055,2,4
160,7,7,False,242,0.018,7,2
161,5,7,False,432,0.099,5-7,2
162,9,9,False,275,0.043,9,3
163,8,8,False,114,0.034,8,13
164,3,3,False,367,0.054,3,1
165,1,1,False,132,0.074,1,0
166,5,5,False,57,0.03,5,12
167,2,2,False,436,0.024,2,10
168,5,5,False,437,0.053,5,12
169,8,9,False,107,0.093,8-9,13
170,9,9,False,45,0.035,9,3
171,7,9,False,11,0.035,7-9,2
172,5,5,False,347,0.054,5,12
173,3,3,False,180,0.06,3,2
174,9,6,False,367,0.031,9-6,4
175,7,7,True,17201,0.053,7,2
176,7,3,False,28,0.021,7-3,1
177,10,2,False,235,0.019,10-2,3
178,8,3,False,345,0.097,8-3,13
179,2,2,False,183,0.066,2,10
180,7,7,False,446,0.071,7,2
181,9,6,False,464,0.078,9-6,3
182,9,2,False,360,0.093,9-2,8
183,4,4,False,60,0.078,4,1
184,2,2,False,472,0.013,2,10
185,6,6,False,201,0.049,6,12
186,4,4,False,415,0.026,4,1
187,3,7,False,133,0.055,3-7,1
188,10,8,False,245,0.033,10-8,13
189,1,1,False,157,0.071,1,12
190,3,6,False,163,0.068,3-6,1
191,7,7,False,164,0.028,7,3
192,7,7,False,205,0.061,7,4
193,10,5,True,18599,0.069,10-5,11
194,5,1,False,391,0.055,5-1,12
195,5,5,False,420,0.042,5,8
196,4,4,False,379,0.079,4,4
197,3,3,False,340,0.014,3,1
198,8,6,False,56,0.092,8-6,13
199,6,6,False,77,0.081,6,4
